Id,Name,Address,City,State,Division,Major Group,Industry Group,SIC,Description
1,Robinson and Sons,37898 Rollins Port Suite 901,New Emilyton,North Carolina,D,20.0,205.0,2052.0,Cookies and Crackers
2,Davis Inc,9407 Robert Plains Suite 608,Shelbytown,Arizona,A,1.0,17.0,173.0,Tree Nuts
3,"Norman, Walker and Hernandez",6952 Carrillo Square Suite 456,East Jeremyshire,Tennessee,D,34.0,346.0,3469.0,"Metal Stampings, Not Elsewhere Classified"
4,Rose Group,596 Hannah Springs Suite 629,,Delaware,I,80.0,809.0,8099.0,"Health and Allied Services, Not Elsewhere Classified"
5,Randolph and Sons,088 Jones Glen Suite 641,Rossbury,South Carolina,I,80.0,809.0,8099.0,"Health and Allied Services, Not Elsewhere Classified"
6,Pitts PLC,73937 Mary Village,Carolineview,Oklahoma,D,37.0,371.0,3715.0,Truck Trailers
7,"Barber, Flores and Richard",0783 Lewis Crossing Suite 650,Port Johnfort,Wisconsin,D,30.0,302.0,3021.0,Rubber and Plastics Footwear
8,Thompson Ltd,97582 Michael Mall,West Clayton,Oregon,D,23.0,,2339.0,"Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified"
9,Jimenez-Powell,31155 Kimberly Drive Apt. 116,,Delaware,A,2.0,25.0,253.0,Turkeys and Turkey Eggs
10,Nelson-Wilson,80071 Curry Common,Brightmouth,North Carolina,F,51.0,519.0,5192.0,"Books, Periodicals, and Newspapers"
11,,67239 Harvey Manors Apt. 001,Amandaburgh,New York,D,24.0,244.0,2441.0,Nailed and Lock Corner Wood Boxes and Shook
12,Clay Inc,214 Andrew Fords,Lake Jamesburgh,Utah,E,44.0,443.0,4432.0,Freight Transportation on the Great Lakes-St. Lawrence Seaway
13,Mata Group,260 Wolfe Mountain,Gloriafurt,New Hampshire,G,57.0,571.0,5712.0,Furniture Stores
14,"Lawson, Nelson and Wood",70147 Deborah Meadows Apt. 042,Port Gregoryfurt,New Mexico,F,50.0,505.0,5052.0,Coal and Other Minerals and Ores
15,"Wells, Young and Gibson",86825 Sarah Views,Rachaelborough,,D,26.0,261.0,2611.0,Pulp Mills
16,"Hutchinson, Bell and Maxwell",87374 Brittney Key,Davidshire,Pennsylvania,A,2.0,24.0,241.0,Dairy Farms
17,"Orozco, Miller and Dunn",28625 Rachel Turnpike Apt. 863,Samuelfort,Maine,H,61.0,614.0,6141.0,Personal Credit Institutions
18,Saunders Group,9669 Oliver Spur Apt. 060,New Katherine,South Carolina,E,42.0,423.0,4231.0,Terminal and Joint Terminal Maintenance Facilities for Motor Freight Transportation
19,Casey PLC,,South Maxwell,Rhode Island,D,35.0,357.0,3571.0,Electronic Computers
20,Weaver Ltd,8111 Jenna Mountain Apt. 528,Jordanview,Massachusetts,E,,412.0,4121.0,Taxicabs
21,"Scott, Buckley and Chandler",4364 Kayla Ports,Sarahshire,Nebraska,E,42.0,421.0,4213.0,"Trucking, Except Local"
22,"Gonzales, Barber and Richardson",37186 Johnson Terrace,,New Hampshire,E,41.0,414.0,4142.0,"Bus Charter Service, Except Local"
23,Conley-Fleming,6825 Jones Gardens Apt. 628,Port Erin,Missouri,I,73.0,735.0,7352.0,Medical Equipment Rental and Leasing
24,"Shaffer, Santos and Zamora",211 Moore Estate Apt. 467,Carolview,Illinois,D,24.0,242.0,2426.0,Hardwood Dimension and Flooring Mills
25,Wells PLC,597 Murphy Road Apt. 706,West Jimmy,Florida,D,36.0,367.0,3677.0,"Electronic Coils, Transformers, and Other Inductors"
26,"Newton, Smith and Wyatt",,Quinnmouth,New York,E,41.0,412.0,,Taxicabs
27,Macias-Bailey,3563 Sheryl Curve Suite 390,Michaelville,North Dakota,D,28.0,286.0,2869.0,"Industrial Organic Chemicals, Not Elsewhere Classified"
28,Mendoza-Sullivan,76554 Debra Forks,South Jacobtown,Kansas,I,78.0,782.0,7829.0,Services Allied to Motion Picture Distribution
29,"Haynes, Gibson and Barton",54286 Brandon Pike Apt. 981,Lake Joseph,Florida,E,41.0,414.0,4141.0,Local Bus Charter Service
30,Sullivan-Gonzalez,32435 Carpenter Squares Apt. 573,South Jodi,California,F,50.0,504.0,5046.0,"Commercial Equipment, Not Elsewhere Classified"
31,"Wilson, Barry and Walker",87016 Victor Unions Apt. 215,Brandonhaven,Nebraska,D,36.0,363.0,3633.0,Household Laundry Equipment
32,Yates-Johnson,74926 Frazier Ports,North Caleb,Virginia,D,33.0,,3365.0,Aluminum Foundries
33,Odonnell Ltd,61672 Peck Summit Apt. 585,Crossstad,,D,38.0,382.0,3829.0,"Measuring and Controlling Devices, Not Elsewhere Classified"
34,,457 Sergio Point Apt. 077,Meghanborough,Arkansas,D,37.0,373.0,3731.0,Ship Building and Repairing
35,Roberts and Sons,7728 Wanda Lodge Suite 652,Lake Rhondastad,Delaware,D,30.0,308.0,3083.0,"Laminated Plastics Plate, Sheet, and Profile Shapes"
36,Williams PLC,9789 Rodney Hollow Suite 971,North Zacharyview,West Virginia,H,60.0,609.0,6091.0,"Non-deposit Trust Facilities,"
37,Kirby Inc,896 Elizabeth Lock Suite 184,New Paula,Kentucky,D,33.0,333.0,3339.0,"Primary Smelting and Refining of Nonferrous Metals, Except Copper and Aluminum"
38,Williams LLC,07960 Jacob Mountains Suite 534,South Eric,Delaware,E,49.0,492.0,4922.0,Natural Gas Transmission
39,Charles-Bryan,12070 Benjamin Points Suite 209,Fullerfurt,Texas,D,37.0,372.0,3728.0,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
40,Sims and Sons,493 Dorothy Mews,Danielstad,Massachusetts,D,23.0,233.0,2337.0,"Women's, Misses', and Juniors' Suits, Skirts, and Coats"
41,Ramirez and Sons,600 Bell Locks Apt. 513,North Jeffreyhaven,Indiana,G,59.0,594.0,5944.0,
42,Nielsen Group,229 Angela Drive Suite 896,New Patrick,Georgia,D,34.0,347.0,3479.0,"Coating, Engraving, and Allied Services, Not Elsewhere Classified"
43,"Miller, Thompson and Taylor",6771 Carney Station,Lake Patricia,Massachusetts,C,17.0,,1795.0,Wrecking and Demolition Work
44,Mclaughlin-Ruiz,130 Flores Stravenue Apt. 498,North Stephanieview,Mississippi,G,52.0,,5211.0,Lumber and Other Building Materials Dealers
45,Brady-Butler,48484 Rebecca Pass,Leonbury,Virginia,D,38.0,387.0,3873.0,"Watches, Clocks, Clockwork Operated Devices, and Parts"
46,Higgins-Robinson,90409 Harper Unions Apt. 749,Russellhaven,California,F,50.0,507.0,5075.0,Warm Air Heating and Air-Conditioning Equipment and Supplies
47,Herrera-Ross,441 Reynolds Squares Apt. 818,Port Jennytown,New York,G,53.0,531.0,5311.0,Department Stores
48,Chavez-Parks,552 Perez Path,Joshuafort,Hawaii,D,37.0,371.0,3713.0,Truck and Bus Bodies
49,"Martinez, Thomas and Peterson",811 Patricia Plains,West Joseph,Georgia,I,80.0,806.0,8063.0,Psychiatric Hospitals
50,Sullivan-Peterson,685 Rebekah Haven,West Nataliehaven,Utah,J,95.0,953.0,9532.0,Administration of Urban Planning and Community and Rural Development
51,Ross Ltd,65467 Patel Extension Apt. 306,Michaelport,Virginia,D,22.0,229.0,2295.0,"Coated Fabrics, Not Rubberized"
52,Ochoa-Newman,52663 Caldwell Knolls,East Lisastad,Utah,D,23.0,233.0,2339.0,"Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified"
53,"Barnes, Taylor and Roberts",2364 Stone Skyway Apt. 163,Davischester,Louisiana,D,22.0,229.0,2295.0,"Coated Fabrics, Not Rubberized"
54,Parks Group,249 Bean Trafficway Suite 177,Briannahaven,,D,23.0,238.0,2389.0,"Apparel and Accessories, Not Elsewhere Classified"
55,Flores-Maldonado,63975 Angela Ville,Vaughnport,Oregon,D,36.0,364.0,3648.0,"Lighting Equipment, Not Elsewhere Classified"
56,"Cooper, Grant and Moreno",1477 Alvarado Port,Caseymouth,Tennessee,D,34.0,344.0,3444.0,Sheet Metal Work
57,Collins PLC,913 Dana Expressway,Stephenview,Hawaii,D,28.0,289.0,2895.0,Carbon Black
58,Mcdaniel-Aguirre,28067 Hammond Turnpike,Jonathanfurt,South Dakota,,63.0,637.0,,"Pension, Health, and Welfare Funds"
59,Nelson-Mcdaniel,96056 Harris Mountain,Yangshire,Alaska,C,17.0,179.0,1799.0,"Special Trade Contractors, Not Elsewhere Classified"
60,Brown-Holmes,668 Melissa Springs,West Julie,Wyoming,D,30.0,308.0,3083.0,"Laminated Plastics Plate, Sheet, and Profile Shapes"
61,"Berry, Meyers and Cole",6993 Diaz Crossroad,Port Michele,Hawaii,G,56.0,569.0,5699.0,Miscellaneous Apparel and Accessory Stores
62,Lopez-Ramirez,010 Young Island Apt. 722,Barronhaven,New Jersey,D,22.0,227.0,2273.0,Carpets and Rugs
63,Martin Group,0675 Nicole Shoals Apt. 947,East Adrianshire,Vermont,I,82.0,,8249.0,"Vocational Schools, Not Elsewhere Classified"
64,"Becker, Boyer and Johnson",13507 Kyle Tunnel Apt. 069,Blakeland,South Dakota,C,17.0,171.0,1711.0,"Plumbing, Heating and Air-Conditioning"
65,Bridges-Brown,04976 Charlotte Fork,Dwayneborough,Virginia,I,79.0,791.0,7911.0,"Dance Studios, Schools, and Halls"
66,"Carroll, Cooper and Johnson",1048 Carrie Valley Suite 160,Port Courtneyberg,New Hampshire,D,37.0,379.0,,"Transportation Equipment, Not Elsewhere Classified"
67,"Cruz, Pittman and Huang",6514 Melissa Prairie Apt. 201,Lake Daniel,North Carolina,E,44.0,442.0,4424.0,Deep Sea Domestic Transportation of Freight
68,Williams PLC,661 Charles Mountains,Harrisland,Mississippi,D,23.0,233.0,2337.0,"Women's, Misses', and Juniors' Suits, Skirts, and Coats"
69,Ramirez LLC,0613 Rachel Rapids,Roberttown,South Dakota,D,25.0,253.0,2531.0,Public Building and Related Furniture
70,Walker-Brown,6746 Wade Glens Apt. 194,North April,,A,7.0,76.0,762.0,Farm Management Services
71,Hall-Adams,6000 Mcguire Keys Apt. 108,Jacquelinechester,North Dakota,I,73.0,734.0,7349.0,"Building Cleaning and Maintenance Services, Not Elsewhere"
72,Gonzalez Ltd,65862 Sarah Roads,East Kevin,New Jersey,I,75.0,753.0,7536.0,Automotive Glass Replacement Shops
73,"Brown, Cooper and Pugh",777 Martin Inlet,Sarahbury,Tennessee,D,26.0,263.0,2631.0,Paperboard Mills
74,"Greer, Wiley and Quinn",7951 Jeffrey Locks Apt. 333,New Joyce,Kansas,D,36.0,366.0,3661.0,Telephone and Telegraph Apparatus
75,Fitzpatrick-Hartman,538 Karen Mill,New Cassandrafurt,Colorado,D,39.0,391.0,,"Jewelry, Precious Metal"
76,Miller Ltd,16498 Willis Landing Suite 988,Brownborough,Montana,D,36.0,369.0,,"Electrical Machinery, Equipment, and Supplies, Not Elsewhere"
77,Contreras PLC,917 Golden Skyway,East Jamiefort,Arizona,H,60.0,601.0,6019.0,"Central Reserve Depository Institutions, Not Elsewhere Classified"
78,Miller PLC,244 Phillips Bypass,Klineport,Mississippi,D,20.0,204.0,2048.0,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats"
79,Austin Inc,67042 Bean Row Apt. 042,South Diana,South Carolina,D,36.0,365.0,3651.0,Household Audio and Video Equipment
80,"Spencer, Cowan and Jackson",0259 Cline Station Suite 879,Amyshire,Wyoming,D,37.0,371.0,3713.0,Truck and Bus Bodies
81,"Wright, Mathews and Young",0311 Heather Meadow Apt. 703,West Tinaport,Pennsylvania,F,,519.0,5192.0,"Books, Periodicals, and Newspapers"
82,Shepherd LLC,273 Steven Estates,Lake Jesusview,New York,B,14.0,147.0,1474.0,
83,Martin and Sons,64667 Sean Isle Apt. 740,West Karitown,Delaware,D,30.0,308.0,3086.0,Plastics Foam Products
84,Gibbs-White,5833 Gregory Rapids Apt. 706,North Ryan,West Virginia,D,23.0,238.0,2389.0,"Apparel and Accessories, Not Elsewhere Classified"
85,Soto Inc,817 Joseph Divide,East Aaron,Massachusetts,G,56.0,566.0,5661.0,Shoe Stores
86,"Crawford, Brown and Wright",6070 Karen Passage,Taylorfort,Wisconsin,D,34.0,344.0,3441.0,Fabricated Structural Metal
87,"Hill, Lin and Avery",7095 Melissa Forest Apt. 311,Loribury,Nebraska,G,54.0,541.0,5411.0,Grocery Stores
88,Morrison PLC,9371 Bond Gateway Apt. 869,South Susantown,South Carolina,I,73.0,738.0,7389.0,"Business Services, Not Elsewhere Classified"
89,Coffey-Walker,81724 Kristen Inlet,South Jill,Michigan,D,20.0,204.0,2043.0,Cereal Breakfast Foods
